definition,word,author,tags,up,down,date
"This phrase originated with the Quakers in a 1955 pamphlet (Speak Truth to Power: A Quaker Search for an Alternative to Violence) promoting pacifism, in the belief that love can overcome hatred. It has come to mean ""speaking out to those in authority"" and is now used in politics and human rights activism.",Speak Truth to Power,hojicha,"[u'#authority', u'#power', u'#liberty', u'#pacifism', u'#quaker', u'#activism']",3728,5012,"August 15, 2013"
"A slang term for Ecstacy (MDMA) commonly used in the San Francisco Bay area of the United States. However, the slang term has become widely popular by the song ""Don't Drop That Thun Thun"" by Finatticz.",thun thun,CuppyCakes,"[u'#drugs', u'#ecstasy', u'#mdma', u'#drop', u'#finatticz', u'#san francisco', u'#bay area']",4319,6172,"August 16, 2013"
"After an insult is made, make motion with hands similar to a basketball free throw and proceed to yell ""count it"" showing your superiority to whoever you just tooled on.",Count it,Barney Keller,[],5702,6195,"March 08, 2003"
The liquor one hides in a couch (and throughout the house) while pretending to be sober,Couch syrup,Bernard Snatchly,"[u'#secret stash', u'#goods', u'#bootleg liquor', u'#moonshine', u'#brown bagging']",4766,5918,"July 09, 2013"
That which occurs when you wipe after evacuating ones bowels only to find that there is no excrement on the paper.,Clean Pinch,Reverend Regan,"[u'#dump', u'#crap', u'#bowels', u'#shit', u'#excrement']",5514,5201,"May 21, 2010"
People often confuse this word with figuratively.,literally,Built2Spill,[],16367,9029,"November 17, 2004"
"The time after the pointless teen years in which a young person develops what are called ""standards"" and ""morals."" It is a time in which eyes are opened and ""The Truth"" suddenly becomes clear. Usually beginning when one enters college, said young person reads deep literature, searches for the meaning of life, and listens to college radio, all the while secretly becoming even more confused than when he/she was an lame 16 year old. The Post-Adolescent Idealistic Phase usually entails naive 18-20something year olds upholding hopeful, yet unrealistic morals. Often, utopian dreams can be confused for ""The Truth."" After the phase has ended, the young person must beware becoming highly hypocritical and/or jaded once life has slapped them around a bit.",Post-Adolescent Idealistic Phase,Get the quote right dammit,"[u'#clueless', u'#dionne', u'#josh', u'#post-adolescent', u'#idealistic', u'#phase']",2831,2923,"August 23, 2008"
"A hug given as an unavoidable social grace even though one or both people engaged in the hug hate each other and would not willingly hug if they were alone. Characterized by being a very fast and ""going through the motions"" hug with as little contact, duration, and eye contact as possible.",hate hug,AsaC,"[u'#hate', u'#hug', u'#fake smile', u'#fake hug', u'#coworkers']",3162,3508,"July 04, 2013"
A person that can produce their phone with lightning speed and return a text message almost instantaneously.,phoneslinger,gyrfalcon206,"[u'#phone', u'#text', u'#message', u'#gunslinger', u'#cellphone.']",3426,3236,"June 18, 2011"
When you piss on the side of the bowl of the toilet instead of the water to make less noise at night.,Piss Muting,the way...,"[u'#piss', u'#toilet', u'#mute', u'#bowl', u'#night']",4837,3765,"July 08, 2013"
A shortened way of saying one is hungry.,Hungs,That bengali from essex,"[u'#starving', u'#hungry', u'#peckish', u'#empty', u'#supperless']",2817,4373,"June 14, 2011"
"An off-shoot (or sub-culture) of the general hipster trend, but while most contemporary hipsters attempt to buy indie flavor by frequenting Urban Outfitters or American Apparel, a ""thriftster"" alternatively obtains said style by frequenting thrift stores or through general use of hand-me-downs. While shopping at the Salvation Army may have been included in the original definition of a ""hipster,"" now that mainstream commercialism has caught onto the hipster fashion trends, the term ""thriftster"" must be adopted to differentiate those who appreciate used clothing and the ideals that come along with it from the ever-increasing group of trendy 20 and 30-somethings who are content to buy the massed-produced version of this clothing without asking how it got to be there in the first place.",thriftster,abeth26,"[u'#thrifter', u'#hipster', u'#subculture', u'#aesthetic', u'#used', u'#urban', u'#intellect']",2187,2728,"December 11, 2011"
A politician who feels more qualified than women and their doctors to make women's health care decisions. A combination of the words gynecologist and politician.,gynotician,BigAppleBucky,"[u'#gynecologist', u'#politician', u'#republican', u'#teahadist', u'#puritan']",3573,4024,"July 06, 2013"
Adding a large number of friends or followers on social media in the hours after returning home from summer camp.,Friend surge,Beth G,"[u'#camp', u'#friends', u'#followers', u'#facebook', u'#instagram', u'#twitter', u'#vine']",3272,3208,"July 06, 2013"
Someone who begins to act drunk when those around him/her are drunk but is not really intoxicated.,Sympathy Drunk,Don'tTreadOnMe,"[u'#fake drunk', u'#underage drinking', u'#drunk', u'#drinking', u'#alcohol']",3461,3480,"July 04, 2013"
When one gets many more likes/retweets/favorites on a social networking site than usual.,Like shock,Itsqaffletime,"[u'#facebook', u'#likes', u'#shock', u'#like shock', u'#twitter']",3623,4867,"July 05, 2013"
To pleasure oneself sexually whilst washing or immersing one's body in water.,Masturbathe,Diggles,"[u'#masturbate', u'#masturbath', u'#bathe', u'#bath', u'#hygiene']",7197,7052,"July 03, 2013"
A person to whom one has at one point sent a successful social networking friends request or from whom one has accepted such request.,almost-quaintance,ClownPuncture,"[u'#acquaintance', u'#stranger', u'#inconsequential', u'#dull', u'#irritating']",4722,6320,"July 03, 2013"
The feeling after spending a lot of money on a lot of takeout food and realising afterwards that it wasn't a good idea.,pizza regret,MTurtle,"[u'#pizza', u'#regret', u'#takeout', u'#food', u'#sad', u'#junk food', u'#junk']",8330,9515,"July 01, 2013"
"A person who refuses to pay dues for a gym membership or sneaks into a gym for a workout without paying. An illegal gymagrant often convinces gym managers that they are going to ""test out the gym"" prior to signing up for an official membership where they have to pay.",Illegal Gymagrant,TCB451,"[u'#gym', u'#workout', u'#weightlifting', u'#illegal', u'#immigrant', u'#cheapskate']",6994,7507,"June 29, 2013"
"Being too emotional, that eventually as a result, you fall asleep.",Emotionap,Strikaboy,"[u'#bro', u'#love', u'#emotions', u'#sleeping', u'#sad', u'#emotional']",8165,9398,"June 28, 2013"
A person's sidekick who texts for the driver.,textretary,Anarino,"[u'#text', u'#driving', u'#communicate', u'#safe driver', u'#messaging', u'#cell phone']",8257,7859,"June 29, 2013"
noun. Dubstep that makes for great driving music.,Drivestep,DVNT,"[u'#drive', u'#step', u'#drivestep', u'#dubstep', u'#gtfo']",7747,8992,"November 06, 2011"
"(v) getting wild or excessively crazy. Typically used in the context of a party.It is normally followed by a prepositional phrase (For the party, In that place, On that hoe) and it is often used in the past tense (turned up). ""Turning up"" is almost never said.As far as I can tell, it is the 2011 equivalent of what Getting Crunk was in the early 2k's and late 90's.",Turn Up,WriterTag,"[u'#crunk', u'#hype', u'#crazy', u'#live', u'#party']",7223,7834,"October 25, 2011"
"The act of being out in a social public setting (i.e. Restaurant, Cocktail Bar, Coffee shop) and only spending time on your mobile device; not the people with or around you.",Nocializing,Old Bull,"[u'#socializing', u'#mobile device', u'#smart phone', u'#rude', u'#anti-social', u'#hipster', u'#desensitized']",9229,7629,"June 27, 2013"
Riding a motorcycle between two traffic lanes between cars.,lane splitting,TK9,"[u'#lane splitting', u'#lanesplit', u'#filter', u'#filtering', u'#motorcycle']",5757,6475,"June 27, 2013"
The spreading of a craving/desire for a specific food or restaurant from person to person. Usually spread almost instantaneously after leaving someone's mouth.,Food Herp,Eric Pratt,"[u'#food', u'#herpes', u'#eat', u'#hungry', u'#desire', u'#craving']",6131,8063,"June 27, 2013"
"Cover the sound of masturbation by playing loud, shitty dubstep.",Wub one out,JoeShmoe24,"[u'#masturbate', u'#spank the monkey', u'#buffing the banana', u'#bopping the baloney', u'#cleaning your rifle', u'#corking the bat', u'#cranking the shank', u'#fisting your mister', u'#flogging your dog', u'#flute solo', u""#jerkin'the gherkin"", u'#manual override', u'#polishing the rocket', u'#whipping the willy']",6989,6780,"June 27, 2013"
A pejorative term used to describe someone who is preoccupied with self-reflection and the understanding of oneself; preoccupation with attempts at understanding the psychological and/or existential meaning of the self.,navel gazing,pdxmama,"[u'#psychology', u'#philosophy', u'#self-reflection', u'#narcissism', u'#self-knowlege']",8136,9114,"January 10, 2009"
An medical variant of the condition known as 'tennis elbow' primarily affecting the dominant arm of hyperactive males who don't play tennis.,Porno elbow,gyrfalcon206,"[u'#tennis elbow', u'#porno', u'#doctors', u'#medical terms', u'#medical conditions.']",7007,6367,"July 02, 2010"
"When you're with someone and run into an acquaintance of his/hers. They exchange greetings, which leads to a conversation, and you stand there smiling like a dummy wondering if you'll ever be introduced.",greeting orbit,ΔиłĦ☼иצ ß€₡ʞ,"[u'#left out', u'#not included', u'#ignored', u'#bystander', u'#meeting etiquette']",8306,6307,"October 24, 2009"
adjective: used in a very crowded or tight situation.,Nuts to Butts,mythodius,[],7874,5965,"November 08, 2004"
"Those words invented at home, and used in the family but don't have a meaning outside of the family or friendship group",homemade word,Fox_In_The_Box,"[u'#invented', u'#palabras', u'#word', u'#trending', u'#invention']",6189,6628,"June 23, 2013"
"This person has no skill at dancing, yet will try to auto-choreograph their unholy movements to the lyrics of the song being played, often with a delay as they can't remember the lyrics, and have to come up with something on the fly as they hear it.",Interpretive Dunce,Ambad,"[u'#dance', u'#dunce', u'#interpretive dance', u'#music', u'#lyrics', u'#skill']",4594,5978,"June 23, 2013"
"A large gathering of bros on a mission to do one thing, to get bombed, tanked, or wasted usually ending in some people doing something stupid.",Bropocalypse,brelic,"[u'#bro', u'#rage', u'#wasted', u'#drunk', u'#apocalypse']",6569,6053,"November 13, 2010"
"Piss angle is an intense math calculation that dudes use when trying not to get back-sprayed while pissing into a urinal.Pissing against the back wall of the urinal at a 90 degree angle will cause extreme backspray. Thus, a man must strategically place his piss stream onto the side wall of the urinal, prefferably at less than 20 degrees to prevent getting back-sprayed.",Piss Angle,TheGameWizard,"[u'#piss', u'#angle', u'#piss angle', u'#urinal', u'#urinal piss', u'#piss stream']",5775,4952,"June 20, 2013"
"A serious talk between two close male friends, in which they talk about all the things going on in their life at the moment. Deep bro talks are sacred meetings, and all the things discussed during them cannot be told to anyone else without the other's consent.",Deep Bro Talk,The Grand Negus,"[u'#deep bro-talk', u'#haters', u'#bro-talk', u'#conbrosation', u'#real talk']",4907,5267,"June 20, 2013"
"When you've finished a book and you suddenly return to the real world, but the real world feels incomplete or surreal because you're still living in the world of the book.",Book hangover,iciclethe828,"[u'#book', u'#bookover', u'#bookhangover', u'#fantasy', u'#surreal']",9463,4954,"June 18, 2013"
"An individual who is assigned the task of drinking for other people because they are driving, pregnant, or have to get up early the next morning.",Designated Imbiber,thebetterfriend2,"[u'#beer', u'#wine', u'#vodka', u'#whiskey', u'#gin', u'#scotch', u'#bourbon', u'#rum', u'#drunk', u'#drink', u'#wasted', u'#hammered', u'#smashed', u'#designated', u'#sober', u'#pong', u'#cocktail']",3726,4286,"June 19, 2013"
